,AT,V,AP,RH,PE
1896,17.63,40.55,1002.27,73.42,462.13
1897,23.74,52.3,1008.88,76.34,444.4
1898,21.34,51.61,1010.11,80.7,452.0
1899,6.48,36.24,1013.62,92.03,484.65
1900,24.32,59.14,1017.46,80.14,438.08
1901,13.8,39.82,1012.37,83.69,473.56
1902,30.74,71.77,1006.24,53.38,434.89
1903,26.52,77.17,1008.71,92.32,432.48
1904,24.01,46.93,1013.3,52.24,448.35
1905,25.12,71.58,1010.18,87.5,433.58
1906,33.26,68.51,1012.49,52.68,429.38
1907,3.38,41.31,998.79,97.76,489.11
1908,15.77,58.16,1016.09,82.56,450.11
1909,10.75,45.01,1018.73,93.16,471.47
1910,18.04,44.85,1015.13,48.4,463.31
1911,20.79,50.59,1017.75,73.35,456.01
1912,24.85,70.09,1006.56,70.09,439.96
1913,14.87,35.71,1015.53,57.7,468.75
1914,10.93,39.22,1019.44,64.94,473.27
1915,9.51,40.46,1018.84,70.12,471.32
1916,27.57,60.07,1016.52,54.75,440.12
1917,26.13,48.06,1013.5,47.67,440.99
1918,11.72,40.92,1023.35,88.55,465.88
1919,13.32,41.7,1020.22,88.3,451.93
1920,15.65,54.3,1018.0,69.66,461.69
1921,28.98,70.8,1008.19,73.45,434.08
1922,21.96,48.6,1004.87,76.27,446.56
1923,21.29,47.45,1008.85,71.6,447.78
1924,22.0,51.3,1012.87,85.79,450.18
1925,16.49,49.39,1018.1,93.13,461.54
1926,23.57,63.91,1011.65,80.74,441.93
1927,22.72,69.13,1010.81,92.43,438.01
1928,26.06,71.73,1009.65,77.02,432.38
1929,31.11,74.16,1012.2,58.86,435.69
1930,17.34,45.01,1013.22,77.71,459.01
1931,24.42,64.79,1016.12,69.32,449.1
1932,28.88,71.98,1005.37,74.24,428.61
1933,14.28,42.77,1020.06,81.77,466.75
1934,12.28,40.92,1023.23,89.14,460.33
1935,19.92,38.52,1018.15,60.68,451.16
1936,7.98,40.77,1008.69,98.65,480.72
1937,29.17,72.99,1006.86,64.92,430.59
1938,20.71,58.79,1017.48,86.67,444.39
1939,25.15,62.91,1012.23,48.22,444.19
1940,18.45,42.44,1013.45,63.52,459.79
1941,27.96,77.24,1007.23,78.51,433.35
1942,22.61,45.38,1013.92,62.91,459.53
1943,10.62,39.64,1010.51,68.55,478.37
1944,7.55,38.08,1019.37,76.32,485.49
1945,28.84,74.67,1016.52,67.43,428.98
1946,23.55,65.94,1011.76,58.44,443.98
1947,19.11,44.85,1014.76,45.86,464.66
1948,25.87,67.79,1011.16,79.88,445.87
1949,11.68,40.55,1017.31,99.82,473.51
1950,27.51,73.67,1005.71,76.75,431.97
1951,14.43,39.82,1012.56,78.52,470.17
1952,30.22,74.9,1003.57,67.15,434.17
1953,18.41,44.9,1008.97,73.81,453.12
1954,29.56,71.14,1011.42,53.18,432.09
1955,31.54,77.24,1007.83,62.98,430.07
1956,25.16,43.21,1011.73,88.69,442.29
1957,30.75,73.88,1005.62,57.95,436.97
1958,16.71,46.18,1012.06,96.6,458.4
1959,20.29,63.09,1019.03,76.07,448.22
1960,25.16,54.2,1012.69,58.02,441.99
1961,22.56,66.48,1003.82,77.46,437.73
1962,32.81,75.08,1005.09,42.0,433.37
1963,27.04,69.98,1008.5,75.41,433.25
1964,10.58,42.34,1022.32,94.01,474.91
1965,22.91,66.44,1011.23,63.43,444.48
1966,31.35,68.67,1005.26,66.85,433.73
1967,10.55,41.55,1005.02,63.24,473.99
1968,21.53,70.02,1010.33,95.95,440.93
1969,13.42,38.91,1012.81,73.82,472.22
1970,14.26,44.47,1028.81,72.19,465.77
1971,21.89,74.78,1010.35,80.39,444.6
1972,22.98,51.95,1006.83,74.92,454.63
1973,18.63,61.27,1019.69,73.67,454.03
1974,26.28,73.06,1008.06,90.7,437.01
1975,10.12,41.55,1005.78,62.34,475.46
1976,34.53,73.03,1013.53,36.74,437.03
1977,25.55,71.64,1009.09,79.35,439.37
1978,25.41,68.94,1007.21,69.2,436.95
1979,25.59,65.46,1014.47,37.89,444.9
1980,23.09,69.13,1010.93,90.07,436.67
1981,10.31,40.67,1017.61,69.61,485.25
1982,30.1,66.25,1009.38,65.41,434.99
1983,16.81,42.86,1013.83,77.11,464.36
1984,21.87,69.45,1014.04,71.19,439.97
1985,26.75,43.21,1012.29,87.28,430.45
1986,26.3,69.05,1005.37,41.7,438.12
1987,27.19,64.96,1006.71,73.99,428.79
1988,24.15,71.73,1009.76,85.16,436.55
1989,29.28,77.17,1009.4,76.3,433.14
1990,13.61,38.47,1015.1,54.98,466.51
1991,22.04,57.32,1012.54,62.17,447.27
1992,9.86,38.38,1018.22,85.35,479.56
1993,25.81,66.51,1016.53,62.19,437.57
1994,14.29,39.59,1012.36,92.38,463.13
1995,23.15,69.48,1011.07,85.83,436.16
1996,4.96,39.4,1003.58,92.22,486.09
1997,19.11,58.95,1017.07,85.49,449.89
1998,21.84,60.29,1017.23,66.89,454.4
1999,27.4,77.24,1007.65,78.13,435.74
2000,24.63,63.9,1014.53,75.24,440.23
2001,24.37,68.14,1005.22,59.27,440.22
2002,27.16,59.87,1011.78,58.84,446.38
2003,10.67,42.02,996.55,99.94,472.65
2004,11.2,37.5,1013.81,72.81,472.2
2005,25.67,68.3,1017.16,74.19,435.89
2006,25.93,69.34,1008.91,79.43,434.08
2007,25.71,52.84,1006.32,53.29,445.54
2008,22.98,73.17,1011.94,90.13,438.5
2009,21.94,62.52,1015.99,74.56,449.87
2010,22.67,68.08,1013.0,66.59,443.79
2011,27.28,72.58,1009.21,89.96,431.27
2012,20.24,56.53,1020.29,77.75,455.25
2013,27.92,69.23,1013.21,44.43,435.62
2014,31.95,70.79,1003.8,55.25,426.37
2015,11.41,40.1,1014.27,91.17,476.81
2016,23.74,63.9,1014.73,81.9,445.47
2017,18.74,44.34,1019.4,55.16,468.84
2018,11.22,41.66,1008.96,72.38,477.53
2019,22.53,62.39,1007.84,86.4,450.08
2020,26.31,77.95,1012.45,77.22,436.83
2021,10.23,42.07,1017.93,91.1,475.14
2022,9.07,36.3,1015.26,56.81,479.98
2023,8.42,37.49,1009.22,82.15,478.87
2024,4.87,42.85,1012.69,94.72,482.05
2025,26.91,74.99,1005.64,78.98,437.06
2026,10.77,41.44,1016.72,75.27,479.19
2027,22.93,58.2,1017.75,54.09,444.95
2028,20.19,44.57,1009.2,72.13,454.36
2029,25.18,61.08,1013.08,80.75,445.64
2030,14.1,41.16,1021.26,73.87,460.01
2031,20.79,68.28,1001.42,76.77,445.83
2032,30.56,72.39,999.96,69.81,430.85
2033,17.67,53.16,1013.59,83.31,457.99
2034,12.66,40.35,1011.37,82.77,473.11
2035,17.28,65.94,1013.62,89.97,454.76
2036,9.47,40.81,1026.44,91.87,479.96
2037,20.32,39.72,1001.38,57.21,456.18
2038,18.2,52.72,1025.87,54.26,463.47
2039,7.81,40.71,1023.32,82.08,475.46
2040,29.46,49.3,1003.88,54.1,436.37
2041,22.68,70.47,1010.86,82.8,441.47
2042,25.76,65.48,1017.82,54.77,441.14
2043,23.3,52.84,1003.97,72.16,439.49
2044,25.21,49.82,1016.44,63.14,450.75
2045,18.82,61.27,1019.5,72.23,455.29
2046,28.71,64.69,1006.52,68.38,435.85
2047,7.0,41.55,1001.43,97.12,483.92
2048,18.41,42.44,1012.66,65.93,463.2
2049,29.06,71.64,1005.54,69.84,435.98
2050,9.88,37.83,1005.68,97.61,470.44
2051,20.06,60.77,1017.19,88.73,447.35
2052,11.39,43.72,1010.91,98.83,467.8
2053,28.7,71.64,1007.11,69.85,436.58
2054,22.55,47.45,1008.65,67.9,447.42
2055,28.08,59.14,1016.16,58.08,438.83
2056,21.05,61.87,1009.69,62.81,449.05
2057,14.47,48.14,1017.28,87.36,457.45
2058,8.05,38.38,1021.14,86.39,482.17
2059,13.41,45.0,1022.31,76.29,475.9
2060,8.9,41.4,1030.83,85.63,472.95
2061,18.83,48.98,1016.33,74.23,453.28
2062,24.17,48.78,1018.08,75.14,440.96
2063,26.73,49.02,1007.75,67.73,438.17
2064,21.54,58.41,1013.99,86.34,450.69
2065,26.12,63.31,1013.97,51.6,439.77
2066,21.73,50.32,1008.51,84.62,442.1
2067,28.28,61.47,1009.44,60.89,443.12
2068,25.61,60.32,1015.77,56.48,443.96
2069,25.28,70.32,1006.91,81.74,431.43
2070,23.88,67.9,1005.99,67.58,446.34
2071,34.6,64.96,1003.3,34.32,427.65
2072,16.32,43.14,1014.72,70.43,465.38
2073,23.56,67.79,1010.14,89.72,441.29
2074,9.93,39.04,1023.78,77.08,480.54
2075,24.93,73.5,1011.28,83.09,437.35
2076,28.11,70.98,1007.76,85.6,431.83
2077,29.2,64.84,1009.94,55.37,441.9
2078,8.66,41.01,1022.51,98.55,472.16
2079,9.35,41.03,1021.33,66.75,482.16
2080,23.04,64.27,1014.29,80.23,439.67
2081,7.38,41.22,1016.47,96.29,485.73
2082,25.09,65.46,1015.29,40.13,442.99
2083,5.47,38.68,1017.33,72.71,485.7
2084,26.11,69.84,1002.57,84.99,427.45
2085,6.62,42.49,1008.74,94.57,482.74
2086,21.61,58.62,1017.61,76.07,449.11
2087,29.97,70.32,1007.44,53.26,428.42
2088,28.79,70.79,1003.83,65.9,425.64
2089,23.9,61.41,1011.95,67.87,451.99
2090,32.84,74.67,1015.89,31.81,430.88
2091,11.11,40.55,1023.91,87.12,476.37
2092,14.28,43.02,1012.97,49.44,467.83
2093,19.94,61.87,1009.7,66.6,445.97
2094,12.25,44.85,1014.13,85.25,470.92
2095,15.15,37.64,1014.37,89.82,463.98
2096,9.08,40.46,1019.48,77.37,476.81
2097,26.58,70.98,1008.96,77.36,434.41
2098,19.31,60.07,1014.86,69.37,453.47
2099,33.3,80.18,1011.09,63.98,430.16
2100,9.33,42.49,1008.93,82.59,478.43
2101,26.96,65.34,1015.05,46.93,441.81
2102,16.72,44.34,1019.26,63.77,465.89
2103,14.38,45.09,1012.95,86.1,464.27
2104,32.36,73.91,1003.88,59.84,431.92
2105,27.08,63.78,1015.04,50.8,447.24
2106,21.45,60.84,1017.86,82.8,444.99
2107,20.25,58.33,1013.25,68.92,448.93
2108,20.52,57.76,1017.03,81.19,453.64
2109,26.04,68.08,1010.82,75.58,430.32
2110,18.42,60.1,1009.77,86.75,451.93
2111,8.06,39.96,1024.23,94.48,476.03
2112,28.8,74.9,1003.48,75.01,434.01
2113,23.34,73.5,1011.43,89.74,441.14
2114,26.61,56.85,1012.48,48.84,437.26
2115,29.24,74.67,1015.81,59.95,432.61
2116,12.65,44.0,1023.03,88.73,471.46
2117,12.08,40.75,1015.84,86.9,476.84
2118,12.76,40.27,1006.58,49.34,474.03
2119,25.65,49.3,1003.73,68.48,440.05
2120,17.92,50.66,1012.62,93.0,456.84
2121,16.45,41.48,1016.64,45.21,454.69
2122,22.22,59.14,1017.32,83.41,442.31
2123,18.56,42.28,1007.75,60.89,462.05
2124,19.69,56.65,1020.84,72.14,455.07
2125,20.27,63.56,1014.24,86.55,446.93
2126,21.47,70.32,1011.72,88.36,440.0
2127,10.1,41.58,1021.26,94.06,468.19
2128,29.36,68.94,1007.5,79.91,431.39
2129,18.62,59.15,1012.85,82.54,450.81
2130,20.55,63.86,1015.12,73.98,447.54
2131,8.57,40.69,1020.87,84.15,485.18
2132,14.45,43.71,1025.26,84.23,463.6
2133,31.17,70.98,1007.19,67.34,431.01
2134,31.54,77.24,1008.23,70.19,431.27
2135,14.19,43.71,1024.38,83.03,467.8
2136,29.35,69.04,1008.55,61.78,445.04
2137,29.63,69.59,1008.3,72.53,438.64
2138,11.21,44.03,1007.95,93.03,471.79
2139,13.74,41.16,1010.74,87.69,473.19
2140,25.53,59.57,1010.65,82.04,445.59
2141,31.67,69.89,1013.88,39.33,426.35
2142,26.63,74.22,1007.44,78.5,434.25
2143,24.66,58.86,1013.86,56.39,444.42
2144,20.12,45.09,1013.73,57.78,448.35
2145,9.52,39.61,1021.18,73.78,478.79
2146,13.65,41.58,1020.56,72.17,460.8
2147,25.44,66.54,1011.9,56.76,437.99
2148,12.41,41.16,1017.45,93.64,464.08
2149,14.05,41.39,1019.06,68.54,472.19
2150,24.94,63.94,1012.72,73.71,438.55
2151,6.08,35.79,1011.08,90.59,483.08
2152,28.84,75.6,1018.41,53.96,442.69
2153,7.51,43.02,1014.35,86.46,485.38
2154,23.88,69.94,1007.48,61.0,440.63
2155,31.88,66.44,1009.25,64.06,427.83
2156,28.27,66.56,1007.36,55.99,433.52
2157,23.96,51.3,1011.81,71.81,451.11
2158,22.44,63.47,1012.02,91.08,444.65
2159,14.01,38.91,1015.86,69.24,470.1
2160,29.17,64.79,1016.43,61.05,441.2
2161,14.53,39.0,1016.48,76.36,464.86
2162,31.42,70.17,999.3,61.22,430.78
2163,23.64,58.49,1011.4,74.2,445.75
2164,26.25,52.09,1013.2,53.12,450.53
2165,6.72,39.85,1011.84,84.66,489.09
2166,21.9,63.13,1011.54,81.83,447.4
2167,20.11,51.19,1007.82,92.06,449.03
2168,29.22,73.18,1012.22,64.91,430.57
2169,31.25,69.51,1010.25,36.83,428.77
2170,8.13,39.99,1011.71,87.89,486.19
2171,22.35,66.44,1011.19,65.41,445.27
2172,13.87,38.01,1022.61,84.22,473.39
2173,9.27,36.3,1026.93,72.13,479.66
2174,17.32,45.0,1022.19,40.45,469.38
2175,13.2,45.01,1013.96,78.78,466.71
2176,15.83,45.01,1013.39,81.9,460.22
2177,9.44,41.4,1027.64,86.22,473.94
2178,26.17,48.92,1009.87,34.43,440.09
2179,16.37,44.0,1024.61,78.26,460.14
2180,10.74,40.05,1015.45,87.33,477.93
2181,15.45,45.0,1023.63,70.74,469.54
2182,28.54,76.86,1000.09,74.67,433.35
2183,23.29,62.91,1013.35,68.25,444.61
2184,21.04,50.32,1008.41,90.19,446.33
2185,23.56,60.77,1017.93,76.34,443.13
2186,13.12,39.18,1023.11,64.33,471.44
2187,26.03,70.32,1008.81,71.35,438.15
2188,10.15,43.41,1018.4,82.07,473.43
2189,25.87,59.43,1008.34,65.83,440.26
2190,23.1,72.99,1008.85,90.54,440.46
2191,22.35,63.94,1010.32,93.02,443.9
2192,23.46,47.01,1014.41,69.19,457.76
2193,29.76,73.56,1008.07,84.85,432.51
2194,23.45,66.25,1009.1,90.28,443.44
2195,33.18,72.29,1009.51,58.35,435.26
2196,28.85,66.54,1010.73,43.27,437.79
2197,25.37,66.75,1017.94,79.26,434.16
2198,7.38,44.71,1020.27,70.55,486.91
2199,10.9,41.46,1016.66,86.2,479.45
2200,20.6,45.38,1014.93,75.78,460.24
2201,13.43,40.1,1015.82,87.9,471.77
2202,24.73,71.14,1009.07,68.87,437.55
2203,24.36,68.61,1010.27,63.78,448.71
2204,24.62,72.24,1011.39,83.94,432.13
2205,10.87,37.5,1011.43,95.56,474.07
2206,24.82,59.27,1012.76,72.34,444.81
2207,25.31,49.82,1014.62,62.15,453.05
2208,18.77,52.08,1004.02,99.86,449.62
2209,21.5,61.5,1008.43,78.13,447.83
2210,10.07,41.39,1019.89,70.53,480.54
2211,27.92,68.3,1015.02,51.04,437.28
2212,24.96,65.18,1012.68,76.19,436.24
2213,20.67,70.02,1010.42,94.09,448.75
2214,29.13,70.72,1009.61,67.49,436.9
2215,24.47,75.23,1012.43,75.25,441.07
2216,16.16,25.88,1009.58,72.24,461.86
2217,21.32,59.8,1016.26,76.26,452.7
2218,20.32,39.72,1002.0,51.71,458.8
2219,24.32,71.14,1011.71,71.65,435.34
2220,4.77,39.33,1011.32,68.98,494.91
2221,20.87,63.31,1012.27,79.51,446.7
2222,28.17,63.13,1012.44,66.61,439.94
2223,29.64,69.51,1012.13,44.65,428.69
2224,25.25,62.91,1012.51,62.64,443.14
2225,22.25,60.77,1017.8,82.19,444.05
2226,22.49,71.29,1008.24,75.8,442.58
2227,29.16,73.17,1010.96,67.77,429.06
2228,14.49,44.84,1024.09,86.55,465.72
2229,11.95,41.48,1013.44,74.83,465.41
2230,26.99,72.99,1008.0,76.1,430.81
2231,26.36,73.68,1013.99,86.44,430.39
2232,9.91,39.64,1010.57,75.82,478.63
2233,23.94,51.95,1008.61,73.42,448.67
2234,22.84,59.39,1014.61,80.36,443.71
2235,13.64,44.88,1019.85,56.86,466.66
2236,20.01,43.77,1012.13,65.53,455.66
2237,18.58,44.6,1016.61,48.15,459.06
2238,25.69,72.43,1006.86,86.38,429.99
2239,26.98,72.58,1008.55,78.5,431.12
2240,13.73,45.08,1023.55,81.64,470.35
2241,28.67,69.14,1008.24,72.68,433.79
2242,29.22,75.23,1010.49,48.73,438.57
2243,25.67,74.78,1010.24,68.87,440.48
2244,22.67,62.52,1016.47,65.63,449.34
2245,16.44,44.0,1024.48,76.51,460.33
2246,23.26,59.14,1016.98,76.29,440.37
2247,21.14,58.05,1012.98,87.27,449.74
2248,31.68,73.68,1014.85,64.0,431.11
2249,8.8,41.26,1008.08,96.52,479.74
2250,18.13,49.39,1021.29,82.52,458.53
2251,22.68,59.54,1004.32,95.44,437.96
2252,14.56,40.69,1015.48,73.73,469.31
2253,29.28,75.08,1005.21,59.0,436.15
2254,14.0,43.34,1016.37,85.51,463.99
2255,23.76,74.22,1009.2,92.98,437.47
2256,20.98,60.1,1011.07,79.44,450.95
2257,27.61,59.54,1005.84,71.27,437.85
2258,8.86,40.8,1028.18,91.0,483.36
2259,25.64,63.87,1017.14,49.25,444.34
2260,13.5,41.44,1015.72,68.36,471.34
2261,33.94,74.67,1015.94,28.16,427.98
2262,11.72,39.18,1024.19,68.53,468.98
2263,28.61,69.75,1009.82,71.7,440.53
2264,20.11,57.25,1010.36,88.89,451.95
2265,30.61,67.69,1004.97,47.46,429.8
2266,22.04,58.05,1013.11,85.22,447.28
2267,27.62,67.51,1012.38,60.25,442.13
2268,24.09,63.94,1017.59,51.02,442.92
2269,23.22,63.07,1012.91,77.59,446.62
2270,16.2,65.46,1013.97,89.84,451.86
2271,9.7,40.11,1026.61,75.48,473.97
2272,22.85,60.29,1017.29,61.92,448.58
2273,31.18,69.04,1008.19,49.72,441.26
2274,15.43,39.64,1008.58,87.99,464.05
2275,24.57,49.5,1014.22,56.31,455.72
2276,9.52,40.96,1023.48,86.49,483.59
2277,26.38,66.49,1013.89,43.06,442.38
2278,26.32,69.71,1009.39,67.05,441.25
2279,25.92,50.16,1003.95,71.3,440.98
2280,12.19,40.05,1014.77,84.39,473.92
2281,19.79,44.9,1008.66,72.68,455.59
2282,9.76,41.01,1019.66,97.59,467.6
2283,16.74,41.16,1006.87,74.24,463.0
2284,11.34,41.54,1020.25,75.83,477.24
2285,25.9,47.45,1007.8,55.96,443.13
2286,16.63,43.77,1012.25,75.09,458.66
2287,17.45,50.9,1012.16,83.8,458.67
2288,23.34,45.61,1012.73,74.09,455.82
2289,24.41,58.59,1012.62,64.52,442.64
2290,12.31,44.78,1011.15,77.34,468.29
2291,10.35,37.14,1013.37,69.26,472.63
2292,33.43,66.44,1010.29,53.45,433.01
2293,5.64,40.62,1015.76,85.98,483.17
2294,24.8,61.02,1009.86,71.75,438.96
2295,24.33,46.93,1013.72,48.27,447.43
2296,14.87,38.28,1014.65,80.24,467.29
2297,7.66,41.92,1031.96,82.48,485.11
2298,27.61,69.68,1012.79,77.01,438.31
2299,23.4,72.99,1009.48,88.82,438.51
2300,13.98,44.58,1016.48,77.59,473.01
2301,18.12,58.95,1017.82,86.16,449.28
2302,17.12,48.6,1007.38,79.15,454.47
2303,9.56,44.71,1021.13,64.6,487.92
2304,24.85,58.05,1011.5,70.12,444.53
2305,11.63,41.5,1013.6,87.11,477.3
2306,17.19,43.14,1014.34,68.62,464.72
2307,15.68,43.7,1015.09,58.96,470.29
2308,23.64,69.94,1005.2,64.53,439.66
2309,10.19,44.63,1020.58,91.64,472.45
2310,27.71,70.32,1008.63,64.05,432.59
2311,9.12,41.54,1018.61,79.26,482.95
2312,15.78,48.6,1007.24,84.23,460.86
2313,27.55,68.08,1011.42,60.71,432.59
2314,14.5,39.0,1017.04,75.75,465.32
2315,23.88,51.95,1005.37,75.25,449.52
2316,25.01,66.56,1004.55,82.46,434.74
2317,22.36,58.79,1011.77,87.51,446.49
2318,27.76,44.89,1009.4,50.15,442.83
2319,9.95,43.56,1014.85,82.62,477.88
2320,17.48,58.95,1016.49,90.35,449.26
2321,17.35,47.83,1006.71,80.57,453.96
2322,12.82,43.5,1022.38,84.32,471.41
2323,28.86,49.3,1003.93,52.85,435.75
2324,33.41,77.95,1010.3,59.72,432.9
2325,13.63,43.5,1022.12,84.32,468.28
2326,24.49,70.79,1005.51,88.65,430.54
2327,25.58,63.47,1011.44,66.81,443.66
2328,24.25,74.93,1013.07,69.31,445.44
2329,9.59,38.56,1017.52,61.89,481.05
2330,23.27,64.15,1020.98,71.18,452.26
2331,23.09,70.47,1010.76,79.89,439.36
2332,28.35,70.32,1009.22,47.13,427.21
2333,19.62,68.63,1012.26,68.05,453.84
2334,29.13,47.93,1002.5,49.1,435.61
2335,21.92,66.54,1012.49,79.82,443.03
2336,12.52,40.24,1020.45,97.41,470.56
2337,18.17,52.08,1001.91,100.09,451.06
2338,27.5,65.59,1011.23,65.37,441.27
2339,14.48,39.0,1016.75,75.97,464.56
2340,19.41,46.63,1013.23,86.28,452.6
2341,24.43,47.45,1007.68,65.18,446.45
2342,25.45,63.76,1009.96,67.78,439.56
2343,10.07,39.66,1015.37,83.78,479.64
2344,18.85,48.06,1012.52,67.88,451.77
2345,24.65,64.63,1020.52,53.45,446.04
2346,18.99,62.1,1020.0,76.76,453.09
2347,8.8,39.42,1025.17,68.72,476.5
2348,10.16,41.79,1021.35,52.4,472.75
2349,27.75,77.24,1007.48,78.37,433.57
2350,23.43,61.47,1007.84,87.11,448.01
2351,28.62,69.98,1013.3,68.53,432.11
2352,15.82,43.34,1014.52,79.07,460.4
2353,22.61,44.05,1005.69,76.74,443.45
2354,23.96,60.95,1015.01,65.24,446.4
2355,29.81,73.67,1005.6,60.91,430.67
2356,26.98,70.94,1007.99,68.16,434.73
2357,7.64,41.17,1020.01,75.14,488.53
2358,20.07,42.23,1012.86,74.11,461.25
2359,19.05,59.21,1017.99,89.53,451.0
2360,26.27,58.33,1013.81,60.43,438.82
2361,22.45,57.76,1017.55,58.6,450.61
2362,26.52,73.21,1002.3,95.38,437.02
2363,24.73,69.94,1006.09,59.15,439.86
2364,26.11,70.36,1007.64,70.12,445.37
2365,10.87,38.38,1020.85,69.78,477.03
2366,7.19,38.91,1016.53,88.61,486.05
2367,14.91,39.28,1014.57,75.23,469.34
2368,19.5,52.72,1025.21,50.21,457.26
2369,22.96,68.61,1011.15,76.62,447.18
2370,29.74,56.9,1007.15,41.91,438.76
2371,16.03,41.23,996.35,82.04,464.67
2372,17.35,52.72,1026.31,58.01,463.65
2373,11.26,39.35,1015.47,99.28,471.83
2374,27.82,59.15,1012.74,42.78,442.0
2375,28.15,71.94,1006.73,68.21,427.69
2376,14.66,42.77,1019.37,79.79,463.6
2377,26.56,49.02,1007.65,70.78,438.82
2378,15.49,42.07,1018.01,78.07,460.32
2379,29.29,73.18,1012.4,66.65,430.31
2380,21.69,57.17,1011.75,82.63,446.61
2381,33.67,80.18,1010.83,60.87,431.99
2382,20.79,57.32,1012.47,70.09,446.18
2383,23.35,71.85,1009.32,73.48,441.28
2384,27.01,43.77,1011.18,46.58,440.64
2385,27.71,69.13,1001.63,51.45,432.54
2386,23.48,49.16,1002.7,70.22,445.72
2387,17.77,43.72,1009.01,77.7,456.34
2388,22.24,69.23,1011.83,79.37,441.9
2389,24.6,57.85,1012.92,69.56,447.09
2390,19.06,50.16,1011.36,99.64,449.74
2391,14.56,47.45,1009.52,91.14,451.95
2392,26.62,71.73,1009.32,80.1,431.93
2393,23.03,59.04,1011.85,81.24,444.85
2394,13.73,41.92,1031.01,64.92,466.29
2395,13.79,42.07,1018.27,88.06,462.25
2396,23.46,73.18,1012.07,88.14,438.62
2397,19.58,52.9,1017.46,64.64,458.28
2398,12.76,43.7,1015.13,65.34,475.73
2399,6.93,43.13,1018.61,88.31,486.94
2400,10.63,39.61,1020.0,72.42,476.99
2401,17.46,39.99,1008.52,69.73,461.01
2402,6.15,40.77,1022.42,88.57,482.49
2403,6.9,44.71,1019.7,71.21,486.3
2404,25.77,59.39,1014.76,69.99,438.64
2405,27.86,63.07,1011.11,56.81,440.48
2406,7.91,41.79,1021.86,54.92,479.02
2407,22.35,63.47,1013.21,82.52,440.11
2408,17.65,62.1,1019.63,84.3,452.2
2409,16.96,52.9,1019.61,81.86,460.2
2410,18.71,53.16,1013.26,82.64,455.7
2411,24.22,61.86,1013.39,80.11,442.65
2412,23.61,59.39,1015.11,78.84,438.08
2413,14.01,45.08,1023.28,82.49,464.79
2414,31.33,76.86,997.85,64.43,431.44
2415,12.86,44.77,1018.75,74.73,468.43
2416,16.4,38.01,1022.2,73.05,463.79
2417,22.49,58.82,1009.73,85.19,444.11
2418,23.75,61.5,1008.16,69.14,442.35
2419,28.92,66.51,1015.5,34.51,439.09
2420,13.64,43.71,1024.41,84.46,468.85
2421,28.52,57.82,1004.81,57.82,435.4
2422,24.79,59.21,1017.9,53.83,446.04
2423,24.27,60.37,1005.13,77.16,437.78
2424,31.59,62.7,1009.3,50.16,442.58
2425,23.25,51.86,1013.54,78.34,450.22
2426,22.1,58.33,1013.71,69.09,441.31
2427,24.97,54.2,1012.68,74.25,439.71
2428,11.96,43.41,1017.42,79.44,469.34
2429,35.03,68.27,1006.55,43.82,426.22
2430,17.97,65.94,1012.92,88.22,448.88
2431,24.24,70.32,1009.38,82.83,436.45
2432,5.04,40.64,1021.35,93.63,484.42
2433,17.18,40.55,1000.47,72.03,461.73
2434,11.24,25.36,1009.26,97.47,469.92
2435,32.69,72.86,1003.57,56.84,431.76
2436,27.6,73.42,1011.91,83.66,431.44
2437,7.5,38.06,1021.96,83.45,485.98
2438,22.15,43.77,1010.81,60.08,448.46
2439,18.18,44.63,1020.41,48.64,455.57
2440,17.19,37.2,1011.84,67.59,468.4
2441,10.42,43.79,1016.22,90.75,474.79
2442,12.74,49.83,1007.44,91.47,466.09
2443,27.43,56.85,1011.86,36.76,436.64
2444,23.68,68.12,1011.18,72.45,441.54
2445,13.83,42.86,1030.77,75.09,470.21
2446,16.58,41.93,1022.36,45.24,466.61
2447,13.41,45.0,1021.65,45.24,478.96
2448,16.61,50.9,1013.18,85.26,460.35
2449,3.99,39.9,1009.74,96.81,490.91
2450,23.39,63.21,1011.91,84.57,448.3
2451,14.42,41.16,1004.32,88.42,467.25
2452,7.11,43.13,1018.96,87.82,486.11
2453,13.7,45.64,1019.18,92.66,467.9
2454,24.43,65.18,1012.57,77.83,437.26
2455,27.39,69.14,1008.82,78.35,435.22
2456,26.94,62.91,1011.68,41.3,449.1
2457,19.09,42.44,1012.93,63.59,461.84
2458,15.46,44.6,1017.7,68.2,459.62
2459,31.94,74.99,1002.05,34.12,440.17
2460,10.58,41.49,1020.43,91.9,473.19
2461,19.95,58.46,1017.45,89.46,447.1
2462,5.82,40.62,1016.79,85.04,482.67
2463,12.72,44.9,1007.6,71.8,463.49
2464,14.87,54.3,1017.17,71.57,462.87
2465,29.17,67.45,1014.1,46.85,435.08
2466,14.13,43.7,1015.94,80.89,469.28
2467,22.67,60.77,1017.56,79.43,444.43
2468,28.01,64.69,1007.61,58.45,440.23
2469,30.93,70.83,1010.61,46.13,440.59
2470,23.01,66.54,1009.86,64.53,442.47
2471,32.53,77.95,1014.76,58.1,434.44
2472,26.57,44.57,1007.76,50.39,445.49
2473,11.64,40.1,1015.5,87.05,477.2
2474,16.31,42.28,1007.45,77.77,466.49
2475,20.03,45.01,1012.73,56.89,460.11
2476,20.79,65.59,1014.9,77.0,450.3
2477,17.3,42.24,1017.07,64.52,469.21
